TXN DATE,TRANSACTION ID,CUSTOMER ID,POLICY NUMBER,POLICY EFF DT,LOSS DT,REPORT DT,INSURANCE TYPE,PREMIUM AMOUNT,CLAIM AMOUNT,CUSTOMER NAME,CITY,STATE,POSTAL CODE,MARITAL STATUS,AGE,TENURE,EMPLOYMENT STATUS,NO OF FAMILY MEMBERS,RISK SEGMENTATION,HOUSE TYPE,SOCIAL CLASS,CUSTOMER EDUCATION LEVEL,CLAIM STATUS,INCIDENT SEVERITY,AUTHORITY CONTACTED,ANY INJURY,POLICE REPORT AVAILABLE,INCIDENT STATE,INCIDENT CITY,INCIDENT HOUR OF THE DAY,AGENT ID,VENDOR ID
01-06-2020,TXN00000012,A00006313,PLC00002139,22-07-2016,21-05-2020,26-05-2020,Motor,101.15,8000,Patricia Garrett,Nashville,TN,37221,Married,42,39,Employed,2,High,Own,Higher Income,High School,Denied,Major Loss,Ambulance,Yes,Yes,CT,Manchester,3,AGENT00288,No Vendor
01-06-2020,TXN00000013,A00003693,PLC00007839,12-06-2019,24-05-2020,27-05-2020,Health,157.95,11000,Lisa Rosario,Anchorage,AK,99515,Married,57,118,Employed,3,Medium,Mortgage,Lower Income,Bachelor,Approved,Major Loss,None,No,Yes,KY,Louisville,22,AGENT00015,VNDR00191
01-06-2020,TXN00000014,A00007988,PLC00002521,29-01-2020,18-05-2020,23-05-2020,Life,64.16,51000,Felicita Stoughton,Savannah,GA,31419,Single,31,118,Employed,7,Low,Own,Lower Income,High School,Approved,Total Loss,Ambulance,Yes,No,AK,Anchorage,0,AGENT01094,No Vendor
01-06-2020,TXN00000015,A00005617,PLC00007011,08-06-2015,20-05-2020,25-05-2020,Mobile,6.76,700,David Pennington,McCrory,AR,72101,Married,55,90,Employed,6,Low,Mortgage,Higher Income,PhD,Approved,Major Loss,Police,Yes,Yes,CO,Arvada,11,AGENT00324,VNDR00135
01-06-2020,TXN00000016,A00008033,PLC00008152,25-01-2011,12-05-2020,17-05-2020,Motor,128.73,9000,William Halcomb,Washington,DC,20019,Married,57,48,Employed,2,Low,Rent,Lower Income,Unknown,Approved,Minor Loss,Police,No,Yes,AR,Fayetteville,22,AGENT00608,VNDR00051
01-06-2020,TXN00000017,A00007184,PLC00000118,17-04-2014,13-05-2020,18-05-2020,Property,114.42,39000,Michael Kimball,Manchester,CT,6040,Married,53,19,Employed,5,Medium,Mortgage,Medium Income,Bachelor,Approved,Major Loss,Other,No,Yes,DC,Washington,2,AGENT00911,VNDR00238
01-06-2020,TXN00000018,A00007426,PLC00000165,25-03-2015,22-05-2020,25-05-2020,Property,157.18,40000,Mark Huang,Arvada,CO,80005,Married,32,106,Employed,4,Low,Mortgage,Higher Income,Bachelor,Approved,Major Loss,Police,No,Yes,AL,Montgomery,14,AGENT00079,No Vendor
01-06-2020,TXN00000019,A00009265,PLC00000619,03-11-2017,27-05-2020,28-05-2020,Motor,116.55,8000,Marshall Worm,Manchester,CT,6042,Single,45,69,Employed,4,High,Mortgage,Medium Income,High School,Approved,Total Loss,Ambulance,No,Yes,MA,Fitchburg,20,AGENT00994,VNDR00107
01-06-2020,TXN00000020,A00005314,PLC00001411,08-11-2013,17-05-2020,22-05-2020,Life,77.17,68000,Mary Carmona,Washington,DC,20011,Married,59,119,Employed,5,Medium,Mortgage,Medium Income,High School,Approved,Total Loss,None,Yes,Yes,CO,Arvada,1,AGENT00490,No Vendor
01-06-2020,TXN00000021,A00004720,PLC00003338,10-07-2015,30-05-2020,30-05-2020,Health,155.23,17000,Stacey Lopez,Hartford,VT,5001,Married,51,51,Employed,6,Low,Own,Medium Income,High School,Approved,Total Loss,Other,Yes,No,CO,Arvada,3,AGENT00446,VNDR00215
01-06-2020,TXN00000022,A00004728,PLC00004242,19-01-2017,26-05-2020,28-05-2020,Mobile,9.15,300,David Goodman,Berkeley,CA,94708,Single,51,101,Employed,4,Low,Rent,Lower Income,Masters,Approved,Major Loss,Ambulance,No,Yes,DC,Washington,18,AGENT00379,No Vendor
01-06-2020,TXN00000023,A00001482,PLC00007915,29-12-2011,28-05-2020,29-05-2020,Life,81.45,80000,Doris Yazzie,Panama City Beach,FL,32413,Single,44,49,Employed,4,Low,Rent,Medium Income,Bachelor,Approved,Major Loss,Ambulance,Yes,Yes,CA,Woodland,7,AGENT00302,VNDR00375
01-06-2020,TXN00000024,A00001719,PLC00000786,20-06-2015,22-05-2020,25-05-2020,Property,153.04,10000,Matt Mattis,Anchorage,AK,99503,Married,64,81,Unemployed,7,Medium,Rent,Medium Income,Unknown,Approved,Total Loss,None,No,No,CO,Arvada,22,AGENT00266,VNDR00585
01-06-2020,TXN00000025,A00000138,PLC00009960,29-10-2011,17-05-2020,22-05-2020,Property,120.31,30000,Roberto Trudel,Savannah,GA,31419,Married,47,60,Employed,5,Low,Mortgage,Medium Income,Bachelor,Approved,Minor Loss,Police,Yes,No,FL,Lynn Haven,10,AGENT00947,No Vendor
01-06-2020,TXN00000026,A00001186,PLC00007391,18-03-2018,27-05-2020,28-05-2020,Property,87.09,37000,Brian Conley,Hanover,MD,21076,Married,47,95,Employed,5,High,Mortgage,Medium Income,Bachelor,Approved,Minor Loss,Police,Yes,Yes,TN,Nashville,13,AGENT00070,VNDR00051
01-06-2020,TXN00000027,A00006946,PLC00009230,30-12-2011,14-05-2020,19-05-2020,Health,130.78,17000,Barbara Clouthier,Oakland,CA,94611,Married,26,28,Employed,3,Low,Rent,Medium Income,PhD,Approved,Total Loss,Police,Yes,Yes,GA,Savannah,11,AGENT00739,No Vendor
01-06-2020,TXN00000028,A00004112,PLC00003274,23-06-2014,28-05-2020,29-05-2020,Health,119.40,19000,Elbert Felix,Fayetteville,AR,72701,Married,57,85,Employed,3,Low,Own,Higher Income,Masters,Approved,Minor Loss,Police,No,No,MA,Quincy,0,AGENT01169,VNDR00310
01-06-2020,TXN00000029,A00004865,PLC00007448,29-08-2016,20-05-2020,25-05-2020,Property,159.20,37000,Ronald Shaver,Montgomery,AL,36105,Married,43,32,Unemployed,3,Low,Own,Lower Income,Bachelor,Approved,Minor Loss,None,No,Yes,MD,Pasadena,7,AGENT00431,VNDR00339
01-06-2020,TXN00000030,A00002422,PLC00005607,29-06-2019,18-05-2020,23-05-2020,Mobile,8.32,600,Lauren Loftin,Nashville,TN,37076,Single,58,49,Employed,4,Medium,Own,Higher Income,Bachelor,Approved,Major Loss,Police,No,Yes,CO,Arvada,19,AGENT00546,VNDR00233
01-06-2020,TXN00000031,A00003691,PLC00009902,03-07-2010,14-05-2020,19-05-2020,Health,147.70,13000,Mildred Whitten,Glendale,AZ,85301,Single,25,117,Employed,7,Medium,Rent,Medium Income,PhD,Approved,Major Loss,Ambulance,Yes,No,CO,Arvada,3,AGENT00531,VNDR00249
02-06-2020,TXN00000032,A00006915,PLC00008459,26-01-2016,20-05-2020,25-05-2020,Property,124.45,15000,Alyssa Bowen,Glen Burnie,MD,21061,Single,41,106,Employed,4,Low,Rent,Lower Income,Bachelor,Approved,Minor Loss,Ambulance,Yes,Yes,AL,Montgomery,22,AGENT01134,No Vendor
02-06-2020,TXN00000033,A00009130,PLC00009575,28-03-2013,26-05-2020,28-05-2020,Life,51.18,27000,James Hendrickson,Washington,DC,20001,Married,33,28,Employed,7,Medium,Mortgage,Lower Income,PhD,Approved,Minor Loss,Police,Yes,Yes,KY,Louisville,0,AGENT00552,No Vendor
02-06-2020,TXN00000034,A00001581,PLC00002330,24-05-2012,25-05-2020,28-05-2020,Mobile,8.38,100,Brent Lusk,Brookline,MA,2445,Single,64,100,Employed,5,Low,Own,Lower Income,Bachelor,Approved,Minor Loss,Other,Yes,Yes,CT,Manchester,17,AGENT00623,VNDR00045
02-06-2020,TXN00000035,A00007890,PLC00005354,13-08-2014,17-05-2020,22-05-2020,Life,95.16,74000,Charles Johnson,Berkeley,CA,94702,Single,26,51,Employed,2,Low,Mortgage,Lower Income,College,Approved,Major Loss,None,Yes,Yes,KY,Louisville,13,AGENT00313,VNDR00226
02-06-2020,TXN00000036,A00003536,PLC00003499,14-02-2013,13-05-2020,18-05-2020,Life,66.73,69000,Gloria Davis,Arvada,CO,80007,Married,30,100,Employed,3,Medium,Mortgage,Medium Income,Masters,Approved,Minor Loss,Ambulance,Yes,No,MD,Pasadena,7,AGENT00886,No Vendor
02-06-2020,TXN00000037,A00008207,PLC00008260,22-06-2017,17-05-2020,22-05-2020,Mobile,8.27,300,Irene Metcalf,Panama City,FL,32405,Married,57,104,Employed,4,Low,Rent,Medium Income,Bachelor,Approved,Minor Loss,Police,Yes,Yes,FL,Panama City,8,AGENT00690,No Vendor
02-06-2020,TXN00000038,A00003348,PLC00009265,28-02-2018,30-05-2020,30-05-2020,Life,50.30,18000,Patsy Cantu,Hayward,CA,94541,Married,30,35,Employed,5,Medium,Own,Medium Income,High School,Approved,Total Loss,Police,No,Yes,AL,Montgomery,14,AGENT00678,No Vendor
02-06-2020,TXN00000039,A00000014,PLC00005626,29-12-2011,21-05-2020,26-05-2020,Mobile,6.59,600,Louis Yang,Louisville,KY,40223,Married,26,108,Employed,4,Low,Rent,Higher Income,Masters,Approved,Minor Loss,Ambulance,No,No,DC,Washington,6,AGENT00132,VNDR00560
02-06-2020,TXN00000040,A00006283,PLC00008977,27-07-2010,18-05-2020,23-05-2020,Mobile,11.04,600,Albert Wilkie,Pittsfield,MA,1201,Married,62,108,Employed,5,High,Rent,Medium Income,PhD,Approved,Total Loss,Other,No,Yes,CT,Manchester,0,AGENT00284,No Vendor
02-06-2020,TXN00000041,A00003499,PLC00000212,17-07-2014,23-05-2020,26-05-2020,Life,86.77,34000,Paula Davis,Washington,DC,20007,Single,55,118,Employed,5,Low,Mortgage,Lower Income,High School,Approved,Major Loss,Ambulance,No,No,CT,Manchester,2,AGENT00312,VNDR00018
02-06-2020,TXN00000042,A00008902,PLC00006704,06-07-2015,20-05-2020,25-05-2020,Motor,89.11,2000,Dorothy James,Middlebury,VT,5753,Married,62,66,Employed,4,High,Own,Higher Income,Masters,Approved,Minor Loss,Police,No,Yes,AK,Anchorage,14,AGENT00622,VNDR00560
02-06-2020,TXN00000043,A00002740,PLC00003271,05-09-2010,18-05-2020,23-05-2020,Property,140.72,35000,Wayne Landrum,Manchester,CT,6042,Married,57,93,Employed,3,Low,Rent,Higher Income,PhD,Approved,Total Loss,Police,Yes,Yes,AR,Farmington,0,AGENT00896,VNDR00086
02-06-2020,TXN00000044,A00009289,PLC00005560,27-07-2018,22-05-2020,27-05-2020,Property,129.90,18000,Edward Igtanloc,Beverly Hills,FL,34465,Single,32,55,Employed,6,Low,Own,Medium Income,High School,Approved,Minor Loss,Ambulance,Yes,Yes,OK,Oklahoma City,18,AGENT00744,No Vendor
02-06-2020,TXN00000045,A00007672,PLC00006003,28-11-2012,24-05-2020,27-05-2020,Life,84.99,66000,Cheryl Silva,Montgomery,AL,36107,Married,39,51,Unemployed,3,Low,Own,Medium Income,College,Approved,Minor Loss,Ambulance,Yes,Yes,AL,Montgomery,16,AGENT00617,No Vendor
02-06-2020,TXN00000046,A00000956,PLC00009442,01-10-2012,28-05-2020,29-05-2020,Travel,90.04,5000,Mary Cotton,Glendale,AZ,85306,Married,51,105,Employed,2,Medium,Rent,Medium Income,High School,Approved,Minor Loss,None,Yes,Yes,AR,Farmington,5,AGENT00969,VNDR00071
02-06-2020,TXN00000047,A00000134,PLC00002112,09-12-2010,26-05-2020,28-05-2020,Motor,117.72,7000,Harold Garcia,Livermore,CA,94551,Single,31,39,Employed,7,Low,Rent,Medium Income,High School,Denied,Major Loss,Police,No,No,CO,Arvada,0,AGENT00642,No Vendor
02-06-2020,TXN00000048,A00006528,PLC00006887,28-07-2017,31-05-2020,31-05-2020,Property,109.74,15000,Tori Mcbride,Wheelock,VT,5851,Married,31,42,Employed,4,Low,Rent,Lower Income,High School,Denied,Minor Loss,None,No,Yes,VT,Richmond,2,AGENT00845,VNDR00009
02-06-2020,TXN00000049,A00008607,PLC00003012,09-09-2018,29-05-2020,30-05-2020,Mobile,9.05,300,Bertha Roseman,Louisville,KY,40272,Single,56,115,Employed,5,Medium,Mortgage,Higher Income,Bachelor,Approved,Major Loss,Ambulance,Yes,Yes,DC,Washington,22,AGENT00580,No Vendor
02-06-2020,TXN00000050,A00004589,PLC00003093,07-05-2016,23-05-2020,26-05-2020,Motor,116.99,10000,Travis Louis,Glendale,AZ,85308,Single,51,88,Employed,7,Medium,Own,Medium Income,College,Approved,Minor Loss,Ambulance,No,No,AZ,Glendale,13,AGENT00697,VNDR00488
02-06-2020,TXN00000051,A00002074,PLC00003805,15-03-2015,13-05-2020,18-05-2020,Mobile,11.04,400,Marion Dollyhigh,Louisville,KY,40243,Married,49,20,Unemployed,2,High,Mortgage,Medium Income,PhD,Approved,Total Loss,Ambulance,Yes,Yes,VT,Greensboro,22,AGENT00780,No Vendor
02-06-2020,TXN00000052,A00000481,PLC00001551,07-04-2017,15-05-2020,20-05-2020,Mobile,6.63,600,Thomas Lancon,Charlotte,VT,5445,Married,64,59,Employed,7,Low,Own,Lower Income,Bachelor,Approved,Total Loss,Other,No,Yes,AL,Montgomery,22,AGENT01183,VNDR00277
02-06-2020,TXN00000053,A00009041,PLC00009146,27-05-2013,29-05-2020,30-05-2020,Motor,82.82,9000,Wanda Ellison,Oklahoma City,OK,73170,Single,43,34,Employed,7,Low,Mortgage,Medium Income,College,Approved,Major Loss,Ambulance,No,No,AK,Anchorage,21,AGENT00293,VNDR00025
02-06-2020,TXN00000054,A00000859,PLC00008827,05-09-2017,27-05-2020,29-05-2020,Property,104.05,16000,Donald Meehan,Oklahoma City,OK,73162,Married,41,106,Unemployed,7,Low,Rent,Medium Income,Bachelor,Approved,Minor Loss,Ambulance,Yes,Yes,GA,Savannah,5,AGENT01049,VNDR00448
02-06-2020,TXN00000055,A00000583,PLC00005283,29-06-2011,20-05-2020,25-05-2020,Property,137.02,19000,Phillip Walker,Montgomery,AL,36117,Married,46,49,Employed,3,Medium,Rent,Medium Income,Bachelor,Approved,Total Loss,Ambulance,Yes,Yes,MD,Glen Burnie,9,AGENT00046,VNDR00445
02-06-2020,TXN00000056,A00004719,PLC00002737,01-04-2015,16-05-2020,21-05-2020,Travel,75.99,3000,Claire Carter,Unknown,VT,5149,Married,64,92,Employed,5,Low,Rent,Higher Income,College,Approved,Total Loss,Ambulance,Yes,No,MA,Waltham,19,AGENT00224,VNDR00498
02-06-2020,TXN00000057,A00002089,PLC00009114,02-07-2010,19-05-2020,24-05-2020,Motor,92.71,2000,Antony Ender,Crownsville,MD,21032,Single,47,102,Employed,2,High,Mortgage,Medium Income,High School,Approved,Total Loss,Police,Yes,Yes,CA,Jackson,7,AGENT00410,VNDR00358
02-06-2020,TXN00000058,A00004245,PLC00001839,18-11-2019,29-05-2020,30-05-2020,Property,111.33,30000,John Tilley,Fayetteville,AR,72701,Single,36,15,Employed,2,Low,Rent,Lower Income,College,Approved,Total Loss,Ambulance,Yes,Yes,AK,Anchorage,14,AGENT00515,VNDR00164
02-06-2020,TXN00000059,A00009116,PLC00007965,25-06-2019,21-05-2020,26-05-2020,Mobile,8.51,300,John Flores,Newport,VT,5855,Married,48,16,Employed,2,Low,Mortgage,Medium Income,MD,Approved,Major Loss,Ambulance,Yes,Yes,OK,Oklahoma City,21,AGENT00824,VNDR00083
02-06-2020,TXN00000060,A00003178,PLC00003361,30-08-2019,19-05-2020,24-05-2020,Travel,97.08,2000,Edward Laderman,Savannah,GA,31405,Married,56,104,Employed,7,Low,Own,Lower Income,High School,Approved,Total Loss,None,Yes,No,KY,Louisville,11,AGENT00288,No Vendor
02-06-2020,TXN00000061,A00005466,PLC00000652,27-08-2010,19-05-2020,24-05-2020,Property,155.05,16000,Margaret Bolen,Montgomery,AL,36108,Married,32,12,Employed,2,Low,Rent,Medium Income,Unknown,Approved,Minor Loss,Ambulance,Yes,No,VT,Fairfax,15,AGENT00308,VNDR00457
02-06-2020,TXN00000062,A00007369,PLC00001585,19-07-2018,21-05-2020,26-05-2020,Property,124.97,35000,Calvin Eichelberger,Washington,DC,20001,Married,42,14,Employed,7,High,Mortgage,Medium Income,Masters,Approved,Total Loss,Other,No,Yes,OK,Oklahoma City,21,AGENT01028,VNDR00383
02-06-2020,TXN00000063,A00002702,PLC00003400,21-05-2017,24-05-2020,27-05-2020,Property,151.81,15000,Arthur Mitchell,Panama City,FL,32408,Married,53,69,Unemployed,7,Low,Mortgage,Higher Income,High School,Approved,Minor Loss,Ambulance,Yes,Yes,AZ,Glendale,20,AGENT00111,VNDR00010
02-06-2020,TXN00000064,A00006128,PLC00000459,27-10-2014,01-06-2020,01-06-2020,Property,121.54,31000,Debra Oliphant,Nashville,TN,37013,Single,40,108,Employed,5,Low,Own,Higher Income,PhD,Approved,Major Loss,Police,Yes,Yes,MD,Annapolis,22,AGENT00697,VNDR00269
02-06-2020,TXN00000065,A00001291,PLC00004134,10-09-2015,31-05-2020,31-05-2020,Travel,77.47,3000,Mariann Hill,Fremont,CA,94536,Married,39,16,Employed,7,Medium,Rent,Medium Income,Masters,Denied,Total Loss,Ambulance,No,No,MD,Millersville,12,AGENT00018,VNDR00314
02-06-2020,TXN00000066,A00000261,PLC00006979,17-02-2011,26-05-2020,28-05-2020,Life,67.55,96000,Michael Beltrami,Westmore,VT,5860,Married,28,13,Employed,5,Medium,Mortgage,Medium Income,High School,Approved,Major Loss,Police,Yes,Yes,CT,Manchester,13,AGENT00612,No Vendor
02-06-2020,TXN00000067,A00008288,PLC00000241,25-03-2018,15-05-2020,20-05-2020,Travel,98.49,2000,Marion Coffey,Pasadena,MD,21122,Single,37,96,Employed,5,Low,Own,Higher Income,High School,Approved,Total Loss,Other,Yes,No,AK,Anchorage,5,AGENT00141,VNDR00383
03-06-2020,TXN00000068,A00009904,PLC00004191,03-11-2014,02-06-2020,02-06-2020,Mobile,11.21,400,Denise Blake,Louisville,KY,40207,Married,53,54,Employed,6,Medium,Own,Medium Income,Bachelor,Approved,Total Loss,Other,Yes,Yes,CT,Manchester,10,AGENT00572,No Vendor
03-06-2020,TXN00000069,A00007027,PLC00008450,09-02-2011,28-05-2020,30-05-2020,Health,156.20,3000,William Martin,Nashville,TN,37208,Married,36,82,Unemployed,4,Low,Rent,Medium Income,Bachelor,Approved,Total Loss,Police,No,No,CA,Oakland,7,AGENT00565,VNDR00239
03-06-2020,TXN00000070,A00003818,PLC00008734,23-09-2019,23-05-2020,28-05-2020,Mobile,7.23,100,Jacqueline Simpson,Oklahoma City,OK,73135,Single,47,16,Employed,5,Medium,Own,Medium Income,High School,Approved,Major Loss,Other,Yes,Yes,AR,Fayetteville,9,AGENT00603,No Vendor
03-06-2020,TXN00000071,A00005168,PLC00000010,30-01-2019,24-05-2020,27-05-2020,Mobile,11.63,400,James Thurgood,Glen Burnie,MD,21061,Married,33,51,Employed,2,Medium,Mortgage,Medium Income,Bachelor,Approved,Total Loss,Ambulance,Yes,No,AK,Anchorage,1,AGENT01107,VNDR00033
03-06-2020,TXN00000072,A00007705,PLC00009039,09-01-2013,30-05-2020,31-05-2020,Travel,74.36,5000,Mathew Sims,Savannah,GA,31404,Single,56,40,Employed,3,Low,Rent,Medium Income,Bachelor,Approved,Total Loss,Police,No,Yes,CO,Arvada,5,AGENT00615,VNDR00407
03-06-2020,TXN00000073,A00000877,PLC00008900,24-06-2015,21-05-2020,26-05-2020,Life,76.97,99000,Jeremy Riccio,Fayetteville,AR,72704,Married,52,108,Employed,7,Low,Mortgage,Lower Income,Bachelor,Approved,Minor Loss,Ambulance,No,Yes,FL,Panama City Beach,3,AGENT00309,No Vendor
03-06-2020,TXN00000074,A00006847,PLC00009501,14-10-2016,01-06-2020,01-06-2020,Mobile,6.15,300,Susan Petersen,Arvada,CO,80005,Married,60,81,Employed,3,Medium,Mortgage,Lower Income,College,Approved,Total Loss,Ambulance,No,Yes,AL,Montgomery,9,AGENT00315,VNDR00056
03-06-2020,TXN00000075,A00005205,PLC00009466,29-10-2018,14-05-2020,19-05-2020,Life,78.34,52000,Anthony Girard,Nashville,TN,37209,Married,60,55,Employed,4,Low,Own,Medium Income,Bachelor,Approved,Minor Loss,Ambulance,Yes,No,CO,Telluride,17,AGENT00561,No Vendor
03-06-2020,TXN00000076,A00009078,PLC00001505,15-08-2014,17-05-2020,22-05-2020,Life,67.88,59000,Eileen Svoboda,Savannah,GA,31405,Married,50,34,Employed,4,High,Own,Higher Income,Bachelor,Approved,Major Loss,Ambulance,Yes,Yes,CO,Wheat Ridge,19,AGENT00935,VNDR00521
03-06-2020,TXN00000077,A00000804,PLC00006719,09-07-2011,14-05-2020,19-05-2020,Life,68.72,60000,William Zeigler,Nashville,TN,37212,Married,32,85,Employed,7,High,Rent,Medium Income,High School,Approved,Major Loss,None,Yes,Yes,CA,Livermore,5,AGENT00210,VNDR00488
03-06-2020,TXN00000078,A00004234,PLC00005127,05-06-2017,27-05-2020,29-05-2020,Life,86.31,39000,James Hodges,Sacramento,CA,95824,Single,42,54,Employed,7,Medium,Mortgage,Higher Income,Bachelor,Approved,Major Loss,Ambulance,Yes,No,AR,Fayetteville,17,AGENT00283,No Vendor
03-06-2020,TXN00000079,A00002003,PLC00004274,26-08-2013,22-05-2020,27-05-2020,Motor,100.14,7000,Carlos Montello,Arlington,MA,2474,Married,33,36,Employed,6,Low,Mortgage,Medium Income,High School,Approved,Major Loss,Police,Yes,Yes,CA,Oakland,15,AGENT00094,No Vendor
03-06-2020,TXN00000080,A00000193,PLC00000742,28-07-2018,02-06-2020,02-06-2020,Travel,81.79,4000,Gary Enciso,Arvada,CO,80004,Single,63,43,Unemployed,3,Medium,Rent,Higher Income,MD,Approved,Major Loss,Ambulance,Yes,No,AR,Fayetteville,4,AGENT00680,No Vendor
03-06-2020,TXN00000081,A00009864,PLC00003666,05-11-2011,24-05-2020,27-05-2020,Life,88.05,79000,Melva Ramirez,Edmond,OK,73013,Married,36,42,Employed,5,Medium,Rent,Medium Income,High School,Approved,Minor Loss,Ambulance,Yes,No,GA,Savannah,21,AGENT00319,No Vendor
03-06-2020,TXN00000082,A00003565,PLC00003125,12-11-2013,18-05-2020,23-05-2020,Travel,89.36,2000,Richard Lavalle,Manchester,CT,6042,Married,36,29,Employed,3,Low,Mortgage,Medium Income,MD,Approved,Major Loss,Ambulance,No,No,GA,Savannah,10,AGENT00630,VNDR00287
03-06-2020,TXN00000083,A00006009,PLC00000069,05-02-2016,31-05-2020,31-05-2020,Life,95.04,14000,Marion Talley,Hanover,MD,21076,Married,35,39,Employed,6,Low,Mortgage,Medium Income,Bachelor,Approved,Minor Loss,Ambulance,No,Yes,AK,Anchorage,10,AGENT00559,VNDR00466
03-06-2020,TXN00000084,A00000670,PLC00003987,01-06-2017,30-05-2020,31-05-2020,Mobile,11.57,100,Diane Givens,Nashville,TN,37207,Single,44,107,Employed,3,Low,Rent,Medium Income,College,Approved,Minor Loss,None,No,No,FL,Panama City,13,AGENT00771,No Vendor
03-06-2020,TXN00000085,A00002691,PLC00000988,25-11-2016,14-05-2020,19-05-2020,Motor,109.33,6000,Jimmie Herbert,Fayetteville,AR,72703,Married,50,69,Employed,6,Low,Rent,Higher Income,Bachelor,Approved,Total Loss,None,Yes,Yes,FL,Youngstown,0,AGENT00304,VNDR00077
03-06-2020,TXN00000086,A00007463,PLC00005994,13-07-2014,28-05-2020,30-05-2020,Motor,126.63,1000,James Miles,Nashville,TN,37207,Married,34,35,Employed,4,Low,Mortgage,Higher Income,Bachelor,Approved,Major Loss,Police,No,Yes,CO,Arvada,9,AGENT00167,VNDR00541
